Product_brand,Product_category,Product_details,Product_name,Product_price,Product_rating,Product_size,Top_category,Tot_reviews
ULTA,Face,Ulta's Hydration Haven 3 Piece Kit features an intense hydrating trio to soothe and prep dry skin like a pro. All with a great coconut scent!,Hydration Haven Kit,$16.00,1.00 out of 5 stars,Item 2555252,Makeup,1
PÜR,Face,"Perfect for all skin types, PÜR's Melt Away Gel is an oil makeup remover that includes good-for-your-skin oils to help rejuvenate the skin and help protect it against the visible signs of aging induced by high energy visible blue light.",Melt Away Gel,$22.00,4.30 out of 5 stars,Size 2.0 oz,Makeup,6
I Heart Revolution,Face,Only at ULTA!,Fixing Spray,$8.00,4.40 out of 5 stars,Size 3.38 oz,Makeup,36
CoverGirl,Face,"Instantly conceal dark circles and fine lines with Simply Ageless Instant Fix Advanced Concealer by CoverGirl. Formulated with Hyaluronic Complex and Vitamin C, this full-coverage concealer includes a soft tip applicator for easy blending.",Simply Ageless Instant Fix Advanced Concealer,$4.97,3.00 out of 5 stars,Size 0.1 oz,Makeup,13
boscia,Face,"Keep your complexion looking clear with boscia's purse-friendly Clear Complexion Blotting Linens. Formulated with Willow Bark Extract and Abaca Tree Fiber, these lines help absorb excess oil and perspiration while preventing blemishes. Formulated specifically for acne-prone skin.",Clear Complexion Blotting Linens,$10.00,5.00 out of 5 stars,Size 100 ct,Makeup,2
Flesh,Face,Only at ULTA!,Ripe Flesh Glisten Drops,$28.00,4.60 out of 5 stars,Size 0.6 oz,Makeup,22
Physicians Formula,Face,"Physician's Formula Nude Wear Touch of Glow Foundation is a weightless fluid foundation that dresses skin in an illuminating veil of radiance delivering just the right amount of coverage, while remaining virtually undetectable on the skin. Nude Perfection. Luminous Glow.",Nude Wear Touch Of Glow Foundation,$8.49,3.80 out of 5 stars,Size 1.0 oz,Makeup,236
Burt's Bees,Face,"Burt's Bees Goodness Glows Tinted Moisturizer for face gives you a natural finish without looking like you have anything on it. Perfect for everyday wear, this tinted moisturizer is rich in antioxidants and offers more than flawless coverage. It nourishes skin with vitamins and antioxidants, helps to strengthen skin's natural moisture barrier, and it defends against environmental aggressors for healthy-looking skin.",Online Only Goodness Glows Tinted Moisturizer,$11.99,4.30 out of 5 stars,Size 1.0 oz,Makeup,38
Flesh,Face,Find your perfect Flesh ,Pure Flesh Liquid Foundation,$32.00,3.70 out of 5 stars,Size 1.0 oz,Makeup,67
Wet n Wild,Face,"Lights, camera, action! Wet n Wild's exclusive formula extends makeup wear by preventing cracking, smudging, fading, or creasing. Photo Focus Setting Spray works with any makeup and all skin types, plus it has aloe to hydrate your skin. One step, perfect!",Photo Focus Setting Spray,$5.99,3.60 out of 5 stars,Size 1.52 oz,Makeup,96
Smashbox,Face,"Travel Size Photo Finish Oil & Shine Control Primer is a transformative face primer that feels like clouds & mattifies like magic. It truly controls oil & shine throughout the day & is infused with healthy skin ingredients like Witch Hazel, Salicylic Acid & Zinc. The result is a silky, cloud-like matte finish that helps makeup look better longer.",Travel Size Photo Finish Oil & Shine Control Primer,$15.00,,Size 0.40 oz,Makeup,
Stila,Face,"Introducing the an addition to Stila's One Step category: One Step Prime. The innovative, swirled, helix serum primer combines a crystal clear base with the perfect balance of skin-conditioning silicones. It fills in pores and fine lines, creating a smooth canvas that allows your foundation to apply effortlessly and enhances the wear time. Specially formulated Youth Revival Bio-Available Mineral Complex - an exclusive synergistic combination of 15 bio-available vitamins, nutrients and antioxidants. Oil-free, fragrance-free, paraben-free.",One Step Prime,$36.00,4.20 out of 5 stars,Size 1.0 oz,Makeup,30
Revolution PRO,Face,Only at ULTA!,Hydra Matte Primer,$15.00,4.30 out of 5 stars,Size 1.01 oz,Makeup,18
J.Cat Beauty,Face,"J.Cat Beauty's easy to use Highlighter Quad Spectrum Palette features 4 creamy shades to fit to one's skin tone and concern. This palette is the perfect blend of colors to bring out the best facial features. Creates the best glow and perfect for strobing. It gives a perfect ""POP"" to any makeup look! Free of phthalates, SLS, triclosan, propylene glycol and animal ingredients. Cruelty free.",Online Only Highlighter Quad Spectrum Palette,$5.99,4.40 out of 5 stars,Size 0.21 oz,Makeup,7
FLOWER Beauty,Face,"Pyramid Pigments Rose Glow Cheek Color is a mosaic of pigmented perfection. It's the best of both worlds, FLOWER Beauty has created a highlighter and blush all in one for an easy way to light up your look. Four pyramids of rich, curated shades that work together to create a radiant, soft-focus flush of color for the cheeks. Vegan.",Online Only Pyramid Pigments Rose Glow Cheek Color,$11.99,,Size 0.24 oz,Makeup,
Lancôme,Face,"Café Bonheur Le Harmony Blush In Capitals is a limited-edition rosy glow blush harmony for a delicate, flushed look. The powdery formula is entirely made of Lancôme colorful letters, as a strong tribute to the brand. Perfect for that flushed yet glowy look.",Online Only Café Bonheur Le Harmony Blush In Capitals,$40.00,4.90 out of 5 stars,Size 0.42 oz,Makeup,10
Almay,Face,"Enjoy all the things you love about micellar water facial cleansers, plus the convenience and portability of makeup remover towelettes-now in an eco-friendly form that's just as friendly to your skin and eyes! Almay's 100% Biodegradable Micellar Makeup Remover Cleansing Towelettes are made from plant-based fibers that have been sustainably sourced and infused with gentle micellar molecules that just love to release makeup, dirt, and oil from your skin with the most delicate touch, no matter your skin type. (These facial cleansing towelettes can even be used by those with sensitive skin and eyes, and those who wear contact lenses). Almay Biodegradable, Face Makeup Remover Wipes infused with micellar water make taking off even the toughest makeup a breeze. Includes 25 Towelettes.",Biodegradable Micellar Makeup Remover Cleansing Towelettes,$5.99,4.30 out of 5 stars,Size 25 ct,Makeup,30
Physicians Formula,Face,"The Physicians Formula Spotlight Illuminating Primer is enriched with antioxidants that protects skin and visibly reduce redness. Infused with 5 Filtering Luminescent Pearls to blur imperfections and deliver a spotlight glow. It has age-defying actives that blurs, corrects, and protects!",Spotlight Illuminating Primer,$7.99,3.70 out of 5 stars,Size 1.0 oz,Makeup,76
Beauty Bakerie,Face,"Easy on and now, easy off for smudge-free liquid lipsticks. All you'll need is one of Beauty Bakerie's 2-in-1 oil-based wipes to remove your lip whips with ease. They glide gently across your skin effectively removing any waterproof or long-lasting makeup formulas. The oil-based formula makes removal a piece of cake preventing you from having to pull or tug at your skin. Lip Whip Remover will form a barrier that effectively locks the moisture in and keeps your lips soft and supple. These gentle wipes are both Dermatologist and Ophthalmologist tested.",Lip Whip Remover,$14.00,4.30 out of 5 stars,Size 50 ct,Makeup,9
I Heart Revolution,Face,The icing on the cake? I Heart Revolution's irresistible Sprinkles Blush & Highlight Palette features four shimmer shades that can be used anywhere on the cheeks for a mega-watt glow. The sprinkled tonal flecks that give a magical multi-dimensional effect. Wear these shades solo or mix them together to create your own radiance. You can even use it on the eyes for that all-important inner-corner trick.,Sprinkles Blush & Highlight Palette,$7.00,5.00 out of 5 stars,Item 2552684,Makeup,1
LORAC,Face,"From full-face beauty to touch ups on the go, achieve a practically poreless complexion with LORAC POREfection Complexion Pen. The gentle formula is designed to highlight, conceal, or contour and last all day. Sleek, easy to use on-the-go, and packed with skin-saving goodness? Yeah, LORAC's got you covered!",POREfection Complexion Pen,$23.00,4.10 out of 5 stars,Size 0.03 oz,Makeup,15
Catrice,Face,EMAN teams up with Catrice to create a lit highlighter palette with 4 shades that range from light to dark to cover all skin tones. Formulated with a creamy-soft powder texture for easy blending to create an instant glow that lasts for hours.,X Eman Highlighter Palette,$11.99,5.00 out of 5 stars,Size 0.63 oz,Makeup,3
Pacifica,Face,"Don't have a makeup meltdown. We have your back (and your beautiful face). 100% Vegan and Cruelty-free. Formulated without petroleum, parabens, SLS or phthalates.",Cherry Matte Setting Spray,$10.00,3.70 out of 5 stars,Size 2.0 oz,Makeup,23
Elcie Cosmetics,Face,"Elcie Cosmetics' Translucent Powder sets your makeup, while smoothing out pores, fine lines and wrinkles. This weightless loose powder will hold your makeup for an all-days wear, keeping it matte with a natural finish. Talc-free.",Online Only Translucent Powder,$29.00,4.00 out of 5 stars,Size 0.3 oz,Makeup,4
Essence,Face,"Work it! Essence's You Better Work! Fixing Spray is specially formulated to keep makeup in place and looking flawless during all sweat-inducing activities. The spray gives the perfect matte effect and an instant feeling of freshness on the face. No Animal Testing, Vegan & Paraben Free.",You Better Work! Fixing Spray,$4.99,3.80 out of 5 stars,Size 1.69 oz,Makeup,13
VDL,Face,"Experience VDL's entire line of makeup primers in this Primer Miniature Kit. As the last step in your skincare routine, sample Lumilayer Primer for a glass-skin look, Lumilayer Fresh Primer for sun-kissed radiance, Satin Veil Primer for a matte appearance and Velvet Blur Primer for an air-brushed, poreless effect. Ideal for traveling or discovering each of our formulas, find your perfect finish with VDL primers.",Online Only Primer Miniature Kit,$39.00,,Item 2562062,Makeup,
Pérsona,Face,"The Pérsona Cosmetics Cali Glow Highlighters were specifically designed to help pérsona babes achieve a warm, sun kissed reflective glow that's perfect for everyday and the ability to build up to a high-impact shine for a night out. Formulated with vitamin E and cacao seed butter, these highlighters are super buildable, ultra smooth and creamy.",Online Only Cali Glow Highlighter,$24.00,4.40 out of 5 stars,Size 0.26 oz,Makeup,35
e.l.f. Cosmetics,Face,"Infused with Salicylic Acid, Vitamin E, and Tea Tree, this Blemish Control Face Primer by e.l.f. Cosmetics helps control breakouts and blemishes. Discover a smoother canvas for long-lasting makeup application.",Online Only Travel Size Blemish Control Face Primer,$6.00,3.60 out of 5 stars,Size 0.47 oz,Makeup,43
Holika Holika,Face,"Holika Holika Holi Pop Water Color Cheek is a hydrating oil base liquid blusher that glides on the skin effortlessly and creates beautiful, lovely look with its pigmentation formula. Its color absorbs onto skin with transparent watercolor blush expression together with apricot, apple, and guava extract that act as skincare ingredients giving moisture and vitality to skin.",Online Only Holi Pop Water Color Cheek,$9.00,4.70 out of 5 stars,Size 0.33 oz,Makeup,6
Clarins,Face,Just a spritz or two of Clarins' Fix' Make-up ultra-fine mist keeps makeup looking freshly applied for hours of beautiful wear. Moisturizes and soothes with Aloe Vera and Allantoin. Invigorates with the energizing essences of Grapefruit extract and organic Rose Water.,Fix' Make-Up,$30.00,4.50 out of 5 stars,Size 1.7 oz,Makeup,2
Elcie Cosmetics,Face,Elcie Cosmetics' The Bronzer is a soft and luxurious matte bronzer customized to flatter your complexion. This ultra-smooth bronzer brings the right amount of warmth for that natural sun-kissed look. Talc-free.,Online Only The Bronzer,$30.00,4.30 out of 5 stars,Size 0.31 oz,Makeup,4
Wet n Wild,Face,"A fresh face starts with Wet n Wild's Photo Focus Dewy Face Primer. Infused with Vitamin E, this lightweight formula helps smooth your skin for an even makeup application. The primer is infused with pearl pigments to add dimension for that glow-from-within look.",Photo Focus Dewy Face Primer,$5.99,3.70 out of 5 stars,Size 0.84 oz,Makeup,66
Makeup Revolution,Face,Exclusive.,Mattify Primer,$8.00,4.10 out of 5 stars,Size 0.95 oz,Makeup,15
Essence,Face,"Out of this world highlights! The Essence pure nude family just got bigger with the Essence Pure Nude Sunlighter. Golden light reflecting pigments add beautiful luminescence to cheeks, temples, and brow bone for a gorgeous glow. The baked formula applies smoothly while the light texture blends easily for a natural finish. Not tested on animals.",Pure Nude Sunlighter,$4.99,4.60 out of 5 stars,Size 0.28 oz,Makeup,44
Beauty Bakerie,Face,"Bronze goddesses rejoice! This bronze highlight will enhance your natural glow and keep you looking immortalized. With this highlight on hand, get your glaze on Suga, and get #thatSNOWglow.",So Icy ''Mini'' Illuminator,$11.97,3.90 out of 5 stars,Size 0.18 oz,Makeup,17
J.Cat Beauty,Face,"J.Cat Beauty's Mattifying Face Primer helps to create a smooth, matte canvas for your makeup. The lightweight, silky formula evens out skin texture and helps foundation stay put longer. Suitable for normal, oily, and combination skin.",Online Only Mattifying Face Primer,$6.99,3.50 out of 5 stars,Size 0.68 oz,Makeup,11
Neutrogena,Face,"Neutrogena Healthy Skin Primer SPF 15 helps even and brightens skin. This silky, lightweight makeup contains optical modifiers that help minimize the look of imperfections all day long. This primer helps prolong makeup wear while helping skin look more even for up to 8 hours. This Broad Spectrum SPF 15 formula with an exclusive antioxidant blend evens the look of skin all day with or without makeup while helping to protect your skin from the sun's damaging rays. This tone-correcting primer helps makeup apply more smoothly and last longer and can be worn alone or under foundation.",Healthy Skin Primer SPF 15,$13.99,,Size 1.0 oz,Makeup,
NYX Professional Makeup,Face,Only at ULTA!,Can't Stop Won't Stop Matte Primer,$14.00,3.00 out of 5 stars,Size 0.84 oz,Makeup,132
jane iredale,Face,jane iredale's Balance Hydration Spray is a hydration spritz formulated specifically to help balance skin’s oil production and pH.,Online Only Balance Hydration Spray,$33.00,4.60 out of 5 stars,Size 3.04 oz,Makeup,50
Burt's Bees,Face,"Burt's Bees All Aglow Bronzer Stick instantly illuminates your skin as it brightens and defines your face. Made with ingredients, the combination of moisturizing coconut oil, jojoba oil, cupuacu butter and daikon radish extract nourishes and hydrates skin for hours. 100% natural, this Bronzer Stick applies smoothly and blends easily without the heavy and cakey feel. The lightweight and non-sticky formula is hydrating and long-lasting giving you healthy-looking skin. Get that youthful look with nourishing, skin pampering ingredients that care for your skin and does not settle into lines or wrinkles. Apply the bronzer to your cheekbone, brow and nose to enhance your complexion. This bronzer is dermatologist-tested and formulated without parabens, phthalates, SLS, petrolatum or synthetic fragrances. Add natural highlights to your skin with Burt's Bees All Aglow Bronzer Stick.",Online Only 100% Natural All Aglow Bronzer Stick,$12.99,3.60 out of 5 stars,Item 2537392,Makeup,5
Buxom,Face,"Buxom Hot Escapes Bronzer is a creamy-smooth powder bronzer for buildable, sun-kissed color.",Hot Escapes Bronzer,$28.00,4.40 out of 5 stars,Size 0.3 oz,Makeup,39
boscia,Face,"Say hello to shine-free skin with boscia's purse-friendly Green Tea Blotting Linens formulated with Green Tea designed to soothe skin, absorb excess oil, and mattify complexion without smudging makeup.",Green Tea Blotting Linens,$10.00,3.70 out of 5 stars,Size 100 ct,Makeup,12
BECCA,Face,"More than just a primer, it's the secret behind the iconic BECCA glow. Backlight Priming Filter is infused with three unique filtering luminescent pearls, each one adds a different drop of diffused light. Blended together, they result in a first of its kind, lightweight, whipped fluid that creates a smooth canvas and acts as an instant filter. Blurs imperfections and gives skin a healthy, luminescent glow.",Online Only Travel Size Backlight Priming Filter,$21.00,4.40 out of 5 stars,Item 2509879,Makeup,29
ULTA,Face,"Ulta's Dewy Makeup Setting Spray maximizes the longevity of your makeup and achieves dewy, luminous skin. Spritz under makeup as a primer or over makeup to keep that just-applied, fresh makeup look all day.",Travel Dewy Makeup Setting Spray,$6.00,3.90 out of 5 stars,Size 0.8 oz,Makeup,52
Almay,Face,"Almay's oil-free liquid Skin Perfecting Comfort Matte Foundation formula evens out your skin tone, reduces the appearance of fine lines and wrinkles, and blurs the look of imperfections.",Skin Perfecting Comfort Matte Foundation,$13.99,4.30 out of 5 stars,Size 1.0 oz,Makeup,23
Physicians Formula,Face,Physicians Formula Powder Palette Mineral Glow Pearls can be used for an illuminating glow. Unique palette of multi-colored pearls blends together to create an instantly glowing complexion and a perfectly even skin tone.,Powder Palette Mineral Glow Pearls,$7.49,3.90 out of 5 stars,Size 0.28 oz,Makeup,336
Physicians Formula,Face,"A bronzer with benefits! Revolutionary Italian technology combines the best features of powder, baked and cream bronzers for the most stunning bronze glow in Physicians Formula Bronze Booster Glow-Boosting Airbrushing Veil. Delivers a skin-perfecting finish unlike any other bronzer, they had to call it ""Deluxe""! Luxurious, light bronze veil melts into skin providing an airbrushed, lit-from-within glow that looks so natural it is virtually undetectable on the skin.",Bronze Booster Glow-Boosting Airbrushing Veil - Deluxe Edition,$7.99,4.20 out of 5 stars,Size 0.42 oz,Makeup,78
Revolution PRO,Face,Only at ULTA!,Hydra Matte Translucent Setting Powder,$12.00,3.40 out of 5 stars,Size 0.19 oz,Makeup,14
Fountain of Truth,Face,Only at ULTA!,Online Only Perfect Skin Illuminator,$50.00,5.00 out of 5 stars,Size 1.0 oz,Makeup,2
Juvia's Place,Face,"Be a true Golden Goddess with Juvia's Place highlighters. This baked pressed highlighter is a mix of gold and bronze pearls that create an iridescent finish. Enhance your natural features with Heroine Glow I, a gold highlighter that creates effortless and long-lasting luminosity",Online Only The Heroine Glow Highlighter I,$17.00,4.60 out of 5 stars,Size 0.63 oz,Makeup,5
Essence,Face,"Hydration station! The Essence Primer + Studio HD Hydra Primer Spray is a weightless coconut water-infused mist that primes, sets and refreshes makeup. Keep skin hydrated while visibly reducing the appearance of pores.",Primer + Studio HD Hydra Primer Spray,$4.99,4.40 out of 5 stars,Size 1.76 oz,Makeup,21
e.l.f. Cosmetics,Face,"Get the wet makeup look with glossy lids and slick skin with this e.l.f. Cosmetics Jelly Pop Face & Eye Gloss. This multipurpose, face and eye gloss gives a sheer wash of shimmer to the cheeks and eyes creating a mesmerizing, glistening, dewy effect. Beauty that POPS. This hydrating, watermelon-infused Jelly Pop collection uses unique jelly textures to give you lasting sheer color, dewy skin, and a healthy glow.",Jelly Pop Face & Eye Gloss,$4.19,3.00 out of 5 stars,Size 0.19 oz,Makeup,51
Physicians Formula,Face,"Jetset to Butter Paradise with Physicians Formula's Murumuru Baby Butter Tropical Getaway Collection, featuring your favorite Butter beauty favorites! Infused with a powerful blend of Murumuru Butter, Cupuaçu Butter, and Tucuma Butter from the lush, nutrient-rich Amazon and packed with essential fatty acids and pro-vitamins that soften, condition, and moisturize skin and lips.",Online Only Murumuru Baby Butter Tropical Getaway Collection,$19.99,,Item 2563208,Makeup,
ULTA,Face,"Ulta's Mineral Tinted Setting Powder is a talc-free powder that sits lightly upon skin to even your complexion and highlight your skin. Achieve a beautiful bronzed look with this tinted powder. Ulta's silky powder applies effortlessly, covers redness, and provides an even and flawless finish.",Mineral Tinted Setting Powder,$14.00,2.60 out of 5 stars,Size 0.16 oz,Makeup,9
Simple,Face,"Everyday cleansing can be harsh on skin. Simple Kind to Skin Cleansing Facial Wipes are merciless on makeup yet softer than silk, designed for sensitive skin. The improved cleansing facial wipes are made of softer than silk fibers, gentle cleansers, purified water and skin-loving ingredients such as vitamin B5 and vitamin E. It lifts away dirt, grease, impurities and makeup effectively, even waterproof mascara, while instantly hydrating your skin. Does not dry out, irritate skin, or leave residue. Skin is left feeling thoroughly clean, fresh and instantly hydrated. The new improved packaging incorporates the aqua-lock technology which helps prevent the cleansing facial wipes from drying out so every wipe stays fresh and effective, even the last one. Convenient and quick-to-use, these facial wipes are indispensable addition to any makeup bag, gym kit and bathroom to give a gentle cleanse or touch-up for naturally healthy-looking skin every day, wherever you are.",Kind To Skin Facial Wipes,$1.49,4.30 out of 5 stars,Size 7 ct,Makeup,6
jane iredale,Face,"jane iredale's D2O Hydration Spray is a a facial spritz based on Ylang Ylang that helps to hydrate and plump skin cells, and contains ingredients to calm and protect the skin.",Online Only D2O Hydration Spray,$33.00,4.50 out of 5 stars,Size 3.04 oz,Makeup,79
Revolution PRO,Face,Only at ULTA!,Skin Finish Baked Highlighter Powder,$8.00,4.50 out of 5 stars,Size .40 oz,Makeup,14
Shiseido,Face,"Inspired by the latest cosmetic advancements, Shiseido brings brightening solutions directly from Asia. Double Strike PROApproachx2 brightening technology. Target spots with laser speed. Resist the appearance of spots over time. Precisely target and erase the look of dark spots with this dually powerful spot corrector and concealer in one. Spots become immediately concealed while exclusive brightening ingredients like 4MSK work even over foundation to target visible spots. The super-effective formula can be quickly applied over spots and even under eyes.",White Lucent OnMakeup Spot Correcting Serum Broad Spectrum SPF 25,$42.00,4.60 out of 5 stars,Size 0.16 oz,Makeup,9
Lime Crime,Face,"Lime Crime's Sunkissed Face Palette is a must-have from sunrise to sunset! Mix and match from six neutral and bright soft powder face shades in two finishes - matte and shimmer - for a complete kissed by the sun look. Burst like a ray of sunshine with the buttery, lightweight, and blendable powder pigments.",Online Only Sunkissed Face Palette,$44.00,4.40 out of 5 stars,Size 0.78 oz,Makeup,8
Wet n Wild,Face,"You glow, girl! Wet n Wild's To Reflect Shimmer Palette has perfectly coordinated shimmering trios in a beautiful pearl finish. The baked technology delivers high pearl and pigment payoff, and can be applied wet or dry. Each palette provides an instant bronze or a slight hint of color for a glowing complexion.",Online Only To Reflect Shimmer Palette,$5.99,4.90 out of 5 stars,Size 0.4 oz,Makeup,34
La Roche-Posay,Face,"La Roche-Posay Cleansing Micellar Foaming Water Face Wash with no rinse micellar technology removes makeup and impurities from skin. This micellar cleansing water contains dirt-encapsulating micelles, which naturally lift dirt, oil, and makeup upon contact with the skin. Glycerin helps moisturize and soothe skin, Poloxamer is a mild cleansing agent so gentle it is formulated in contact lens solution, and La Roche-Posay Thermal Spring Water is an antioxidant-rich water to help soothe skin. Micellar cleansing water is suitable for all skin types.",Online Only Cleansing Micellar Foaming Water Face Wash,$18.00,4.30 out of 5 stars,Size 0 oz,Makeup,3
L.A. Girl,Face,"To keep that matte finish of freshly applied makeup, mist evenly with L.A. Girl's HD Pro Setting Finish Spray after makeup has been applied. The lightweight, non-sticky formula sets makeup for all day wear. The ultra-fine mist is refreshing and dries quickly setting makeup to help you stay beautiful longer. Paraben and fragrance free.",HD Pro Setting Finish Spray,$5.99,4.10 out of 5 stars,Size 1.0 oz,Makeup,19
e.l.f. Cosmetics,Face,"The e.l.f. Cosmetics blush enhances your natural, healthy glow and can be used to complement any makeup look. Formulated to create lasting color that accentuates your features and flatters skin tone.",Online Only Blush,$3.00,3.50 out of 5 stars,Size 0.21 oz,Makeup,17
Catrice,Face,Blush Performance! The Catrice Blush Box is a velvety powder blush in six highly pigmented shades with a silky matte or gold shimmer finish. This long lasting blush is waterproof and sweat-resistant. Perfect for an active lifestyle! Not tested on animals.,Blush Box,$5.99,4.30 out of 5 stars,Size 0.21 oz,Makeup,33
Physicians Formula,Face,"Physicians Formula NF Sheer Line Of Defense Foundation SPF 30 is a lightweight, sheer-to-light foundation that blurs, protects & perfects with our exclusive complex for a smooth, flawless complexion.",Sheer Line Of Defense Foundation SPF 30,$15.99,5.00 out of 5 stars,Size 1.0 oz,Makeup,1
Ofra Cosmetics,Face,"The aptly named ''Island Time'' summer collection includes a new blush with hues reminiscent of your favorite summer drinks - Mai Tai, Bellini, and Punch, one new highlighter named after an island known for its beautiful beaches and coral reefs - Bali.",Online Only Bali Highlighter,$29.00,4.70 out of 5 stars,Size 0.35 oz,Makeup,932
ZOEVA,Face,"ZOEVA Coral Spectrum Blush Palette featuring 4 highly pigmented, Vitamin E infused, pressed powder blushes in coral shades.",Online Only Coral Spectrum Blush Palette,$22.00,3.50 out of 5 stars,Size 0.52 oz,Makeup,2
Dermablend,Face,"One highlighter for all! Meet Dermablend Glow Creator Multi-Use Liquid Highlighter Drops with 20% concentrated pigmented pearls for weightless, customizable glow that anyone can wear, in any way. This water-free, oil-free liquid highlighter has a unique, silky texture that's blendable, buildable, and customizable so you can create your own glow on face and body.",Glow Creator Multi-Use Liquid Highlighter Drops,$33.00,4.10 out of 5 stars,Size 0.5 oz,Makeup,12
Revlon,Face,"Revlon Powder Blush's color-true prismatic pigments create vibrant, multi-dimensional cheek color that looks freshly applied all day. The silky, buildable powder blush has a matte, satin or shimmer finish and shades for every skin tone.",Powder Blush,$11.99,4.10 out of 5 stars,Size 0.17 oz,Makeup,111
VDL,Face,"VDL Satin Veil Primer with a soft-veil polymer that fills pores, and a sebum control complex that keeps skin looking matte and fresh. Soft veil polymer gently adheres to the skin for a perfectly pore-less and smooth finish.",Online Only Satin Veil Primer,$32.00,4.20 out of 5 stars,Size 1.01 oz,Makeup,725
Revlon,Face,Revlon PhotoReady Candid Anti-Pollution Setting Powder is a loose setting powder infused with antioxidants and anti-pollution ingredients.,PhotoReady Candid Anti-Pollution Setting Powder,$9.99,3.90 out of 5 stars,Size 0.5 oz,Makeup,307
Wet n Wild,Face,"Indulge yourself with Wet n Wild Color Icon Bronzer, a gel-infused, long-wearing formula that leaves skin looking luminous and with a sun-kissed glow. Use to highlight your most-loved features and transform yourself into a bronzed goddess all year long. Shadow and shade the browline with our elegant groundbreaking formula or use it to contour like a pro to achieve those sculpted cheeks and defined high points granted by your favorite digital filter. This gel-infused hybrid applies like a cream and sets like a powder adding a natural tan flush when applied to the skin. Don't limit use to the face, try adding to your neck and collar bones for an all over glow.",Color Icon Bronzer,$5.49,3.30 out of 5 stars,Size 0.38 oz,Makeup,41
Maybelline,Face,"Maybelline's FaceStudio Master Strobing Stick Illuminating Highlighter adds dimension and enhances features. The lightweight, creamy texture and micro-fine pearls combine to boost skin glow for a targeted highlight. Easy application - just swipe and blend!",FaceStudio Master Strobing Stick Illuminating Highlighter,$9.99,4.20 out of 5 stars,Size 0.24 oz,Makeup,135
Wet n Wild,Face,"Slip on Wet n Wild's lightweight water-based PhotoFocus Water Drop Primer to get this party started! Introducing a lightweight, water-based formula that transforms from a cream to liquid texture providing a soft-focused finish with comfortable wear. This innovative formula works to brighten your complexion with good-for-you ingredients including hyaluronic acid to help smooth and hydrate skin; and 60% water content to leave skin refreshed and hydrated.",Photo Focus Water Drop Primer,$5.99,3.40 out of 5 stars,Size 0.68 oz,Makeup,13
L'Oréal,Face,"L'Oréal True Match Super Blendable Multi-Use Concealer features a medium coverage formula that is designed to work with skin to conceal and correct the under eye area and blur imperfections. The soft-touch cushion applicator and super-blendable formula provide a smooth and precise application for a flawless effect. The under-eye concealer infused with Haloxyl and Gylcerin works to conceal and correct dark circles while it brightens the under-eye area for an awakened, radiant look. True Match Multi-Use Concealer is available in a diverse range of shades to match every skin tone and undertone. From light to dark and from warm neutral and cool.",True Match Super-Blendable Multi-Use Concealer,$13.49,3.40 out of 5 stars,Size 0.05 oz,Makeup,28
J.Cat Beauty,Face,J.Cat Beauty Prime Time Makeup Primer Spray can be used as a primer before makeup and a mid-day refresher to keep your skin hydrated all day. Its blend of rose oil is antioxidant and moisturize skin while helping with redness. Jasmine oil infused spray promotes hydrating the skin without clogging pores and helping to even out tone while smoothing the skin.,Online Only Prime Time Makeup Primer Spray,$7.99,4.40 out of 5 stars,Size 2.0 oz,Makeup,9
W3LL PEOPLE,Face,"W3LL PEOPLE Bio Brightener Cream Stick is a magic highlighter that instantly creates radiance. Brightens complexion and sculpts features for added dimension. The rich creamy organic formula has a satin, smooth, weightless texture - free from all harsh, artificial chemicals and petroleum. So there's no heavy, greasy film and no creasing. Their proprietary organic green tea, olive and aloe formula heals and renews skin. Optically diffuse fine lines and imperfections. Organic botanicals nourish and improve skin quality. Absorbs excess oil while softening fine lines.",Online Only Bio Brightener Cream Stick,$23.99,4.30 out of 5 stars,Size 0.17 oz,Makeup,43
Lime Crime,Face,Only at ULTA!,Online Only Fairies Hi-Lite Palette,$18.97,4.90 out of 5 stars,Size 0.75 oz,Makeup,14
Revlon,Face,"Revlon's latest ColorStay Concealer with time release technology balances imperfections for a continuously flawless look, for up to 24 hours.",ColorStay Concealer,$11.99,3.50 out of 5 stars,Size 0.21 oz,Makeup,177
e.l.f. Cosmetics,Face,"Cut oil and ban shine with this e.l.f. Cosmetics water-based Oil Control Primer Mist that preps skin for a smooth, matte finish. Enriched with purified water, cucumber, and vitamins B and E to refresh and hydrate skin.",Oil Control Primer Mist,$8.00,3.50 out of 5 stars,Size 1.01 oz,Makeup,51
Wet n Wild,Face,"Wet N Wild MegaGlo Blushlighter is a blush and highlighter duo that instantly sculpts, defines, and highlights in one sweep. These soft, buildable shades contain ultra-reflective, micro-fine pearl pigments that create a luminous, radiant glow and blend to a perfect finish. Each duo has two levels of intensity for color that compliments every skin tone. Sweep on the two colors, using them alone or blended together for contouring, or layer them on top of each other. Available in 3 Cruelty-free, Gluten-free and Fragrance-free duo shades.",MegaGlo Blushlighter,$6.49,3.50 out of 5 stars,Item 2559792,Makeup,2
Sleek MakeUP,Face,"Achieve an instant glow and radiance with Sleek MakeUP's collection of Highlighting Elixir Illuminating Drops. With a creamy and lightweight formula, the highlighting elixirs are long-lasting, highly pigmented in color and can be worn alone or mixed with your foundation for that extra glow!",Highlighting Elixir Illuminating Drops,,4.40 out of 5 stars,Size 0.27 oz,Makeup,688
